question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
What is the primary role of aldosterone?,Regulate blood sugar.,"Regulate salt (sodium) and water balance, affecting blood pressure.",Control calcium levels.,Stimulate growth.,B,Medium,Science,Prep 3,1
What is a goiter?,A tumor of the pituitary gland.,"Enlargement of the thyroid gland, often due to iodine deficiency.",A condition of excessive growth hormone.,A symptom of diabetes.,B,Medium,Science,Prep 3,1
Describe the hypothalamic-pituitary-thyroid (HPT) axis and its negative feedback loop.,High thyroxine levels stimulate the hypothalamus and pituitary.,"Hypothalamus releases TRH, pituitary releases TSH, thyroid releases thyroxine; high thyroxine levels inhibit TRH and TSH release.","Hypothalamus releases cortisol, pituitary releases TSH, thyroid releases calcitonin.",Low thyroxine levels inhibit the hypothalamus and pituitary.,B,Hard,Science,Prep 3,1
What is Addison's disease typically caused by?,Excessive cortisol and aldosterone production.,Insufficient cortisol and often aldosterone production by the adrenal cortex.,Overactive thyroid gland.,Tumor of the pituitary gland releasing excess ACTH.,B,Hard,Science,Prep 3,1
"What is acromegaly, and what causes it?","Underproduction of growth hormone in childhood, leading to dwarfism.","Overproduction of growth hormone in adulthood, leading to enlargement of extremities and facial features.",Underproduction of thyroid hormone.,Overproduction of insulin.,B,Hard,Science,Prep 3,1
"What is gigantism, and what causes it?",Overproduction of growth hormone in adulthood.,Underproduction of growth hormone in childhood.,"Overproduction of growth hormone in childhood/adolescence before growth plates close, leading to excessive height.",A condition related to thyroid hormone deficiency.,C,Hard,Science,Prep 3,1
"What are endocrine disruptors, and provide an example?","Substances that enhance hormone production; e.g., iodine.","Chemicals that interfere with the body's endocrine system, potentially causing adverse effects; e.g., BPA, certain pesticides.","Naturally occurring hormones that cause disease; e.g., excess cortisol.","Drugs used to treat endocrine disorders; e.g., insulin.",B,Hard,Science,Prep 3,1
What condition is caused by hyperthyroidism (overactive thyroid)? (Variant),"Slow metabolism, weight gain, fatigue.","Rapid metabolism, weight loss, anxiety, rapid heartbeat.",High blood sugar.,Low blood calcium.,B,Medium,Science,Prep 3,1
Describe the hypothalamic-pituitary-thyroid (HPT) axis and its negative feedback loop. (Variant),High thyroxine levels stimulate the hypothalamus and pituitary.,"Hypothalamus releases TRH, pituitary releases TSH, thyroid releases thyroxine; high thyroxine levels inhibit TRH and TSH release.","Hypothalamus releases cortisol, pituitary releases TSH, thyroid releases calcitonin.",Low thyroxine levels inhibit the hypothalamus and pituitary.,B,Hard,Science,Prep 3,1
What is negative feedback in hormonal regulation? (Variant),A mechanism where the product of a pathway stimulates its own production.,A mechanism where the product of a pathway inhibits an earlier step in the pathway.,A mechanism where hormones are destroyed after use.,A mechanism involving only the nervous system.,B,Medium,Science,Prep 3,1
Describe the hypothalamic-pituitary-thyroid (HPT) axis and its negative feedback loop. (Variant),High thyroxine levels stimulate the hypothalamus and pituitary.,"Hypothalamus releases TRH, pituitary releases TSH, thyroid releases thyroxine; high thyroxine levels inhibit TRH and TSH release.","Hypothalamus releases cortisol, pituitary releases TSH, thyroid releases calcitonin.",Low thyroxine levels inhibit the hypothalamus and pituitary.,B,Hard,Science,Prep 3,1
What is the difference between endocrine and exocrine glands? (Variant),Endocrine glands secrete hormones into ducts; exocrine glands secrete into the bloodstream.,"Endocrine glands secrete hormones into the bloodstream; exocrine glands secrete substances (like sweat, saliva) into ducts or onto surfaces.",Endocrine glands are part of the nervous system; exocrine glands are not.,Endocrine glands are only found in the brain; exocrine glands are found throughout the body.,B,Medium,Science,Prep 3,1
What are hormones?,Nerve cells,Chemical messengers produced by endocrine glands,Digestive enzymes,Blood cells,B,Easy,Science,Prep 3,2
How do hormones travel throughout the body?,Through nerve fibers,Through the digestive tract,Through the bloodstream,Through lymphatic vessels,C,Easy,Science,Prep 3,2
What are the specialized organs that produce and secrete hormones called?,Neurons,Muscles,Endocrine glands,Exocrine glands,C,Easy,Science,Prep 3,2
What are the primary female sex hormones produced by the ovaries?,Testosterone and Adrenaline,Estrogen and Progesterone,Insulin and Glucagon,Thyroxine and Calcitonin,B,Easy,Science,Prep 3,2
Hormones bind to specific ___ on target cells.,Nuclei,Mitochondria,Receptors,Membranes,C,Easy,Science,Prep 3,2
"Which part of the pituitary gland (anterior or posterior) produces its own hormones, such as GH, TSH, ACTH?",Posterior pituitary,Anterior pituitary,Both produce their own hormones equally.,"Neither, they only store hormones from the hypothalamus.",B,Medium,Science,Prep 3,2
Which hormones are stored and released by the posterior pituitary but produced by the hypothalamus?,Growth hormone (GH) and Prolactin,Thyroid-stimulating hormone (TSH) and Adrenocorticotropic hormone (ACTH),Antidiuretic hormone (ADH) and Oxytocin,Insulin and Glucagon,C,Medium,Science,Prep 3,2
Which two hormones regulate blood calcium levels?,Insulin and Glucagon,Estrogen and Testosterone,Parathyroid hormone (PTH) and Calcitonin,Adrenaline and Noradrenaline,C,Medium,Science,Prep 3,2
What are tropic hormones?,Hormones that directly affect target cells throughout the body.,Hormones produced by the thyroid gland.,Hormones (mostly from the anterior pituitary) that regulate the function of other endocrine glands.,Hormones involved in digestion.,C,Medium,Science,Prep 3,2
"What is the difference between steroid hormones (like cortisol, estrogen, testosterone) and peptide/protein hormones (like insulin, GH) in terms of their chemical nature and mechanism of action?",Steroids bind to surface receptors; peptides enter the cell and bind to intracellular receptors.,Steroids are water-soluble; peptides are lipid-soluble.,"Steroids are lipid-soluble and typically bind to intracellular receptors affecting gene expression; peptides are water-soluble and bind to surface receptors, triggering intracellular signaling cascades.",Steroids act faster than peptide hormones.,C,Hard,Science,Prep 3,2
How do prostaglandins differ from traditional hormones?,They travel long distances via the bloodstream.,They are produced only by the pituitary gland.,"They are local chemical mediators, acting near their site of synthesis rather than being transported in blood to distant targets.",They are steroid-based molecules.,C,Hard,Science,Prep 3,2
What is the physiological significance of the pulsatile release of hormones like GnRH (Gonadotropin-releasing hormone)?,It conserves energy for the gland.,Continuous release is more effective for target cell stimulation.,Pulsatile release prevents desensitization or downregulation of receptors on target cells (like pituitary gonadotrophs).,It allows hormones to be released only at night.,C,Hard,Science,Prep 3,2
What are tropic hormones? (Variant),Hormones that directly affect target cells throughout the body.,Hormones produced by the thyroid gland.,Hormones (mostly from the anterior pituitary) that regulate the function of other endocrine glands.,Hormones involved in digestion.,C,Medium,Science,Prep 3,2
What is the physiological significance of the pulsatile release of hormones like GnRH (Gonadotropin-releasing hormone)? (Variant),It conserves energy for the gland.,Continuous release is more effective for target cell stimulation.,Pulsatile release prevents desensitization or downregulation of receptors on target cells (like pituitary gonadotrophs).,It allows hormones to be released only at night.,C,Hard,Science,Prep 3,2
How do prostaglandins differ from traditional hormones? (Variant),They travel long distances via the bloodstream.,They are produced only by the pituitary gland.,"They are local chemical mediators, acting near their site of synthesis rather than being transported in blood to distant targets.",They are steroid-based molecules.,C,Hard,Science,Prep 3,2
"Which part of the pituitary gland (anterior or posterior) produces its own hormones, such as GH, TSH, ACTH? (Variant)",Posterior pituitary,Anterior pituitary,Both produce their own hormones equally.,"Neither, they only store hormones from the hypothalamus.",B,Medium,Science,Prep 3,2
How do prostaglandins differ from traditional hormones? (Variant),They travel long distances via the bloodstream.,They are produced only by the pituitary gland.,"They are local chemical mediators, acting near their site of synthesis rather than being transported in blood to distant targets.",They are steroid-based molecules.,C,Hard,Science,Prep 3,2
"Which part of the pituitary gland (anterior or posterior) produces its own hormones, such as GH, TSH, ACTH? (Variant)",Posterior pituitary,Anterior pituitary,Both produce their own hormones equally.,"Neither, they only store hormones from the hypothalamus.",B,Medium,Science,Prep 3,2
How do prostaglandins differ from traditional hormones? (Variant),They travel long distances via the bloodstream.,They are produced only by the pituitary gland.,"They are local chemical mediators, acting near their site of synthesis rather than being transported in blood to distant targets.",They are steroid-based molecules.,C,Hard,Science,Prep 3,2
Which hormones are stored and released by the posterior pituitary but produced by the hypothalamus? (Variant),Growth hormone (GH) and Prolactin,Thyroid-stimulating hormone (TSH) and Adrenocorticotropic hormone (ACTH),Antidiuretic hormone (ADH) and Oxytocin,Insulin and Glucagon,C,Medium,Science,Prep 3,2
